Path;SteerAngle;Throttle;Brake;Speed;X_Position;Y_Position;Pitch;Yaw;Roll
/home/oem/Desktop/Computer Vision/vision project/Vision_Project_Startup_Code/output/IMG/robocam_2022_12_07_01_37_13_146.jpg;0;1;0;0.3538813;99.7481;85.68007;1.188734;49.31696;7.792361E-05
/home/oem/Desktop/Computer Vision/vision project/Vision_Project_Startup_Code/output/IMG/robocam_2022_12_07_01_37_13_213.jpg;0;1;0;0.4402731;99.77132;85.70683;1.133494;49.16405;0.00169614
/home/oem/Desktop/Computer Vision/vision project/Vision_Project_Startup_Code/output/IMG/robocam_2022_12_07_01_37_13_279.jpg;0;1;0;0.4905646;99.79124;85.72962;1.141233;48.97661;0.0001215268
/home/oem/Desktop/Computer Vision/vision project/Vision_Project_Startup_Code/output/IMG/robocam_2022_12_07_01_37_13_345.jpg;0;1;0;0.5348448;99.81332;85.75487;1.183655;48.94515;-0.0005694017
/home/oem/Desktop/Computer Vision/vision project/Vision_Project_Startup_Code/output/IMG/robocam_2022_12_07_01_37_13_412.jpg;0;1;0;0.596509;99.84534;85.79144;1.218297;48.93848;-0.0008589303
/home/oem/Desktop/Computer Vision/vision project/Vision_Project_Startup_Code/output/IMG/robocam_2022_12_07_01_37_13_478.jpg;0;1;0;0.6480688;99.87153;85.82128;1.223541;48.90753;-0.00069038
/home/oem/Desktop/Computer Vision/vision project/Vision_Project_Startup_Code/output/IMG/robocam_2022_12_07_01_37_13_546.jpg;0;1;0;0.6940197;99.89959;85.85325;1.213042;48.82977;-0.0005974552
/home/oem/Desktop/Computer Vision/vision project/Vision_Project_Startup_Code/output/IMG/robocam_2022_12_07_01_37_13_611.jpg;0;1;0;0.7673438;99.92972;85.88757;1.199094;48.73727;-0.0001500035
/home/oem/Desktop/Computer Vision/vision project/Vision_Project_Startup_Code/output/IMG/robocam_2022_12_07_01_37_13_678.jpg;0;1;0;0.8153144;99.97338;85.93704;1.196684;48.60511;-0.0001187271
/home/oem/Desktop/Computer Vision/vision project/Vision_Project_Startup_Code/output/IMG/robocam_2022_12_07_01_37_13_745.jpg;0;1;0;0.8669118;100.0087;85.9769;1.206471;48.52448;-0.0004331193
/home/oem/Desktop/Computer Vision/vision project/Vision_Project_Startup_Code/output/IMG/robocam_2022_12_07_01_37_13_811.jpg;0;1;0;0.9277247;100.0461;86.01898;1.216151;48.56164;-0.001062867
/home/oem/Desktop/Computer Vision/vision project/Vision_Project_Startup_Code/output/IMG/robocam_2022_12_07_01_37_13_878.jpg;0;1;0;0.9887741;100.0991;86.07849;1.221907;48.55572;-0.0008382495
/home/oem/Desktop/Computer Vision/vision project/Vision_Project_Startup_Code/output/IMG/robocam_2022_12_07_01_37_13_944.jpg;0;1;0;1.052641;100.1409;86.12544;1.214592;48.54869;-0.0007891709
/home/oem/Desktop/Computer Vision/vision project/Vision_Project_Startup_Code/output/IMG/robocam_2022_12_07_01_37_14_010.jpg;0;1;0;1.092837;100.1846;86.17456;1.220066;48.51041;-0.0005856081
/home/oem/Desktop/Computer Vision/vision project/Vision_Project_Startup_Code/output/IMG/robocam_2022_12_07_01_37_14_079.jpg;0;1;0;1.141399;100.2458;86.24323;1.221534;48.44258;-0.0006681229
/home/oem/Desktop/Computer Vision/vision project/Vision_Project_Startup_Code/output/IMG/robocam_2022_12_07_01_37_14_145.jpg;0;1;0;1.187278;100.2938;86.2971;1.225917;48.42332;-0.0008873006
/home/oem/Desktop/Computer Vision/vision project/Vision_Project_Startup_Code/output/IMG/robocam_2022_12_07_01_37_14_212.jpg;0;1;0;1.25265;100.361;86.37228;1.231397;48.38738;-0.0008077763
/home/oem/Desktop/Computer Vision/vision project/Vision_Project_Startup_Code/output/IMG/robocam_2022_12_07_01_37_14_278.jpg;0;1;0;1.296838;100.4137;86.43111;1.234822;48.36355;-0.0007643584
/home/oem/Desktop/Computer Vision/vision project/Vision_Project_Startup_Code/output/IMG/robocam_2022_12_07_01_37_14_345.jpg;0;1;0;1.345057;100.4683;86.49203;1.239069;48.34219;-0.0008173859
/home/oem/Desktop/Computer Vision/vision project/Vision_Project_Startup_Code/output/IMG/robocam_2022_12_07_01_37_14_411.jpg;0;1;0;1.409799;100.5248;86.55505;1.243046;48.32453;-0.0008663305
/home/oem/Desktop/Computer Vision/vision project/Vision_Project_Startup_Code/output/IMG/robocam_2022_12_07_01_37_14_478.jpg;0;1;0;1.456817;100.6031;86.64235;1.249658;48.30378;-0.00088488
/home/oem/Desktop/Computer Vision/vision project/Vision_Project_Startup_Code/output/IMG/robocam_2022_12_07_01_37_14_545.jpg;0;1;0;1.518201;100.664;86.71023;1.253167;48.29257;-0.0009079386
/home/oem/Desktop/Computer Vision/vision project/Vision_Project_Startup_Code/output/IMG/robocam_2022_12_07_01_37_14_610.jpg;0;1;0;1.56575;100.7269;86.78016;1.256723;48.28215;-0.0009614737
/home/oem/Desktop/Computer Vision/vision project/Vision_Project_Startup_Code/output/IMG/robocam_2022_12_07_01_37_14_678.jpg;0;0.89521;0;1.611307;100.8135;86.87654;1.260513;48.26754;-0.000978101
/home/oem/Desktop/Computer Vision/vision project/Vision_Project_Startup_Code/output/IMG/robocam_2022_12_07_01_37_14_745.jpg;0;0.6951973;0;1.664591;100.8803;86.95081;1.260959;48.25759;-0.000896893
/home/oem/Desktop/Computer Vision/vision project/Vision_Project_Startup_Code/output/IMG/robocam_2022_12_07_01_37_14_811.jpg;0;0.4951096;0;1.692057;100.9481;87.0262;1.253772;48.24997;-0.0004544764
/home/oem/Desktop/Computer Vision/vision project/Vision_Project_Startup_Code/output/IMG/robocam_2022_12_07_01_37_14_878.jpg;-3.012389;0.2942836;0;1.708993;101.0402;87.12674;1.223685;48.00647;0.0002463965
/home/oem/Desktop/Computer Vision/vision project/Vision_Project_Startup_Code/output/IMG/robocam_2022_12_07_01_37_14_945.jpg;-5.980049;0.0964396;0;1.717004;101.1106;87.20058;1.164281;47.51276;359.9875
/home/oem/Desktop/Computer Vision/vision project/Vision_Project_Startup_Code/output/IMG/robocam_2022_12_07_01_37_15_011.jpg;-9.037081;0;0;1.712473;101.1821;87.27185;1.058215;46.74566;359.9306
/home/oem/Desktop/Computer Vision/vision project/Vision_Project_Startup_Code/output/IMG/robocam_2022_12_07_01_37_15_078.jpg;-11.98112;0;0;1.704543;101.2794;87.36189;0.846031;45.28618;359.771
/home/oem/Desktop/Computer Vision/vision project/Vision_Project_Startup_Code/output/IMG/robocam_2022_12_07_01_37_15_145.jpg;-11.93954;0;0;1.692841;101.3539;87.42588;0.6454947;43.98195;359.5996
/home/oem/Desktop/Computer Vision/vision project/Vision_Project_Startup_Code/output/IMG/robocam_2022_12_07_01_37_15_211.jpg;-8.940114;0;0;1.688374;101.4283;87.48897;0.4315344;42.89129;359.4365
/home/oem/Desktop/Computer Vision/vision project/Vision_Project_Startup_Code/output/IMG/robocam_2022_12_07_01_37_15_278.jpg;-5.97196;0;0;1.684086;101.5271;87.5727;0.1432856;41.87553;359.2547
